Gaspar_code	FB_Spec_Code	Class	Order	Family	Bellwood_Floeter	Genus	Species	Genus_and_species	Size	Size_type	Depth_min	Depth_max	Size_class	Diet_2012	Home_range	Activity	Schooling	Level
10227	10227	Actinopterygii_(ray-finned_fishes)	Perciformes	Pomacentridae	1	Neopomacentrus	azysron	Neopomacentrus_azysron	7.5	TL	1	12	2	PK	S	D	L	L
10228	10228	Actinopterygii_(ray-finned_fishes)	Perciformes	Pomacentridae	1	Neopomacentrus	metallicus	Neopomacentrus_metallicus	6	SL	2	10	2	PK	S	D	L	L
10229	10229	Actinopterygii_(ray-finned_fishes)	Perciformes	Pomacentridae	1	Neoglyphidodon	bonang	Neoglyphidodon_bonang	13	TL	1	20	3	OM	S	D	F	B
10230	10230	Actinopterygii_(ray-finned_fishes)	Perciformes	Pomacentridae	1	Neoglyphidodon	carlsoni	Neoglyphidodon_carlsoni	10	SL	1	5	3	OM	S	D	F	B
10235	10235	Actinopterygii_(ray-finned_fishes)	Perciformes	Pomacentridae	1	Neoglyphidodon	polyacanthus	Neoglyphidodon_polyacanthus	12	SL	2	30	3	OM	S	D	F	B
10239	10239	Actinopterygii_(ray-finned_fishes)	Perciformes	Pomacentridae	1	Parma	oligolepis	Parma_oligolepis	16.5	SL	2	20	3	HD	S	D	S	B
1024	1024	Actinopterygii_(ray-finned_fishes)	Perciformes	Ephippidae	1	Chaetodipterus	faber	Chaetodipterus_faber	91	TL	3	35	6	IM	W	D	M	H
10242	10242	Actinopterygii_(ray-finned_fishes)	Perciformes	Pomacentridae	1	Plectroglyphidodon	flaviventris	Plectroglyphidodon_flaviventris	7	SL	5	12	2	OM	S	D	S	B
10247	10247	Actinopterygii_(ray-finned_fishes)	Perciformes	Pomacentridae	1	Pomacentrus	albimaculus	Pomacentrus_albimaculus	7	SL	10	20	2	OM	S	D	F	B
10249	10249	Actinopterygii_(ray-finned_fishes)	Ophidiiformes	Bythitidae	1	Dermatopsoides	talboti	Dermatopsoides_talboti	5.7	TL	0	NA	2	IM	S	N	S	B
10250	10250	Actinopterygii_(ray-finned_fishes)	Syngnathiformes	Syngnathidae	1	Haliichthys	taeniophorus	Haliichthys_taeniophorus	30	TL	0	16	4	IM	S	D	S	B
10252	10252	Actinopterygii_(ray-finned_fishes)	Perciformes	Pomacentridae	1	Pomacentrus	australis	Pomacentrus_australis	8	TL	5	35	2	OM	S	D	F	B
10253	10253	Actinopterygii_(ray-finned_fishes)	Scorpaeniformes	Platycephalidae	1	Rogadius	welanderi	Rogadius_welanderi	13	TL	6	40	2	IM	W	B	F	B
10257	10257	Actinopterygii_(ray-finned_fishes)	Lophiiformes	Ogcocephalidae	1	Halieutaea	fitzsimonsi	Halieutaea_fitzsimonsi	30	TL	20	120	4	FC	M	NA	S	B
10276	10276	Actinopterygii_(ray-finned_fishes)	Lophiiformes	Antennariidae	1	Antennarius	pictus	Antennarius_pictus	30	TL	0	75	3	FC	S	N	S	B
10277	10277	Actinopterygii_(ray-finned_fishes)	Perciformes	Pomacentridae	1	Pomacentrus	opisthostigma	Pomacentrus_opisthostigma	6.5	SL	6	16	2	OM	S	D	S	B
10279	10279	Actinopterygii_(ray-finned_fishes)	Perciformes	Pomacentridae	1	Pomacentrus	smithi	Pomacentrus_smithi	7	TL	2	14	2	PK	S	D	L	L
10280	10280	Actinopterygii_(ray-finned_fishes)	Perciformes	Pomacentridae	1	Pomacentrus	taeniometopon	Pomacentrus_taeniometopon	12	TL	0	8	3	OM	S	D	F	B
10281	10281	Actinopterygii_(ray-finned_fishes)	Perciformes	Pomacentridae	1	Pomacentrus	wardi	Pomacentrus_wardi	8	SL	1	20	2	HD	S	D	F	B
10282	10282	Actinopterygii_(ray-finned_fishes)	Perciformes	Pomacentridae	1	Pomacentrus	fuscidorsalis	Pomachromis_fuscidorsalis	6	SL	1	18	1	PK	S	D	M	L
10286	10286	Actinopterygii_(ray-finned_fishes)	Perciformes	Chaetodontidae	1	Chelmonops	truncatus	Chelmonops_truncatus	22	TL	0	70	4	IM	S	D	NA	B
10287	10287	Actinopterygii_(ray-finned_fishes)	Perciformes	Chaetodontidae	1	Coradion	melanopus	Coradion_melanopus	15	TL	12	NA	3	IM	S	D	P	B
10288	10288	Actinopterygii_(ray-finned_fishes)	Scorpaeniformes	Scorpaenidae	1	Pterois	mombasae	Pterois_mombasae	20	SL	40	60	3	FC	S	N	S	L
